,,,,,,,,,
,7820,水壶,shuǐ hú,kettle; canteen; watering can,17465,48960,"0,000575%", ,7–9
,7821,水货,shuǐ huò,smuggled goods; unauthorized goods,15693,57219,"0,000672%", ,7–9
,7822,水晶,shuǐ jīng,crystal,4833,270905,"0,003184%", ,7–9
,7823,水利,shuǐ lì,water conservancy; irrigation works,3663,379146,"0,004456%",6,7–9
,7824,水灵灵,shuǐ líng líng,see 水靈|水灵[shuǐ líng],51535,7499,"0,000088%", ,7–9
,7825,水龙头,shuǐ lóng tóu,faucet; tap,17055,50651,"0,000595%",6,7–9
,7826,水落石出,shuǐ luò shí chū,"as the water recedes, the rocks appear (idiom); the truth comes to light",25206,27704,"0,000326%", ,7–9
,7827,水面,shuǐ miàn,water surface,4641,284408,"0,003343%", ,7–9
,7828,水手,shuǐ shǒu,mariner; sailor; seaman,13532,70495,"0,000829%", ,7–9
,7829,水温,shuǐ wēn,water temperature,—,—,—, ,7–9
,7830,水域,shuǐ yù,waters; body of water,8067,141738,"0,001666%", ,7–9
,7831,水源,shuǐ yuán,water source; water supply; headwaters of a river,5734,216190,"0,002541%", ,7–9
,7832,水涨船高,shuǐ zhǎng chuán gāo,"the tide rises, the boat floats (idiom); fig. to change with the overall trend; to develop according to the situation",21386,36052,"0,000424%", ,7–9
,7833,水准,shuǐ zhǔn,level (of achievement etc); standard; level (surveying),5003,259327,"0,003048%", ,7–9
,7834,税收,shuì shōu,taxation,2033,742699,"0,008729%", ,7–9
,7835,税务,shuì wù,taxation services; state revenue service,5091,252958,"0,002973%", ,7–9
,7836,睡袋,shuì dài,sleeping bag,27514,23939,"0,000281%", ,7–9
,7837,顺便,shùn biàn,conveniently; in passing; without much extra effort,4271,313618,"0,003686%",4,7–9
,7838,顺差,shùn chā,(trade or budget) surplus,7855,146994,"0,001728%", ,7–9
,7839,顺畅,shùn chàng,smooth and unhindered; fluent,9921,108021,"0,001270%", ,7–9
,7840,顺从,shùn cóng,obedient; to comply; to submit; to defer,19182,42462,"0,000499%", ,7–9
,7841,顺理成章,shùn lǐ chéng zhāng,logical; only to be expected; rational and clearly structured (of text),16780,51998,"0,000611%", ,7–9
,7842,顺路,shùn lù,by the way; while out doing sth else; conveniently,25944,26426,"0,000311%", ,7–9
,7843,顺其自然,shùn qí zì rán,to let nature take its course (idiom),10523,99835,"0,001173%", ,7–9
,7844,顺势,shùn shì,to take advantage; to seize an opportunity; in passing; without taking extra trouble; conveniently,11513,88297,"0,001038%", ,7–9
,7845,顺手,shùn shǒu,easily; without trouble; while one is at it; in passing; handy,9536,113816,"0,001338%", ,7–9
,7846,顺心,shùn xīn,happy; satisfactory,12321,80318,"0,000944%", ,7–9
,7847,顺应,shùn yìng,to comply; to conform to; in tune with; adapting to; to adjust to,10015,106464,"0,001251%", ,7–9
,7848,顺着,shùn zhe,to follow; following; along,—,—,—, ,7–9
,7849,瞬间,shùn jiān,in an instant; in a flash,1519,989801,"0,011633%",6,7–9
,7850,说白了,shuō bái le,to speak frankly,18807,43798,"0,000515%", ,7–9
,7851,说不上,shuō bu shàng,to be unable to say or tell; to not be worth mentioning,23301,31555,"0,000371%", ,7–9
,7852,说到底,shuō dào dǐ,in the final analysis; in the end,12485,78815,"0,000926%", ,7–9
,7853,说道,shuō dao,to discuss; reason (behind sth),633,2234726,"0,026265%", ,7–9
,7854,说干就干,shuō gàn jiù gàn,"just do it, start right now",—,—,—, ,7–9
,7855,说谎,shuō huǎng,to lie; to tell an untruth,9406,115755,"0,001360%", ,7–9
,7856,说老实话,shuō lǎo shi huà,"to be honest, to tell the truth",—,—,—, ,7–9
,7857,说起来,shuō qǐ lái,(it’s easy) to say (but hard to do); when one says; speaking of (which); starts to speak,—,—,—, ,7–9
,7858,说情,shuō qíng,to intercede; to plead for sb else,28065,23131,"0,000272%", ,7–9
,7859,说闲话,shuō xián huà,chat; gossip,55795,6334,"0,000074%", ,7–9
,7860,说真的,shuō zhēn de,honestly,—,—,—, ,7–9
,7861,硕果,shuò guǒ,major achievement; great work; triumphant success,28111,23064,"0,000271%", ,7–9
,7862,司法,sī fǎ,judicial; (administration of) justice,1785,846072,"0,009944%",6,7–9
,7863,司空见惯,sī kōng jiàn guàn,a common occurrence (idiom),23019,32155,"0,000378%", ,7–9
,7864,司令,sī lìng,commanding officer,8663,128532,"0,001511%",6,7–9
,7865,丝绸,sī chóu,silk cloth; silk,11453,88937,"0,001045%",5,7–9
,7866,丝毫,sī háo,the slightest amount or degree; a bit,3145,456237,"0,005362%",5,7–9
,7867,私房钱,sī fáng qián,secret purse; secret stash of money,40817,11895,"0,000140%", ,7–9
,7868,私家车,sī jiā chē,private car,—,—,—, ,7–9
,7869,私立,sī lì,"private (company, school etc)",15010,60953,"0,000716%", ,7–9
,7870,私事,sī shì,personal matters,23161,31863,"0,000374%", ,7–9
,7871,私下,sī xià,in private,8513,131634,"0,001547%", ,7–9
,7872,私营,sī yíng,privately-owned; private,4213,319374,"0,003754%", ,7–9
,7873,私有,sī yǒu,private; privately-owned,16251,54501,"0,000641%", ,7–9
,7874,私自,sī zì,private; personal; secretly; without explicit approval,10588,99059,"0,001164%",6,7–9
,7875,思路,sī lù,train of thought; thinking; reason; reasoning,1963,769567,"0,009045%", ,7–9
,7876,思念,sī niàn,to think of; to long for; to miss,3739,370276,"0,004352%",6,7–9
,7877,思前想后,sī qián xiǎng hòu,to consider past cause and future effect (idiom); to think over the past and future; to ponder over reasons and connection,44823,9920,"0,000117%", ,7–9
,7878,思索,sī suǒ,to think deeply; to ponder,8113,140719,"0,001654%",6,7–9
,7879,死心,sǐ xīn,to give up; to admit failure; to drop the matter; to reconcile oneself to loss; to have no more illusions about,20392,38718,"0,000455%", ,7–9
,7880,死心塌地,sǐ xīn tā dì,to be hell-bent on; dead set on sth; unswerving,26121,26142,"0,000307%", ,7–9
,7881,四合院,sì hé yuàn,courtyard house with a fully enclosed courtyard (type of Chinese residence),17915,47163,"0,000554%", ,7–9
,7882,四季,sì jì,"four seasons, namely: spring 春, summer 夏, autumn 秋 and winter 冬",7510,155360,"0,001826%", ,7–9
,7883,四面八方,sì miàn bā fāng,in all directions; all around; far and near,14734,62696,"0,000737%", ,7–9
,7884,寺庙,sì miào,temple; monastery; shrine,13018,74655,"0,000877%",6,7–9
,7885,似曾相识,sì céng xiāng shí,déjà vu (the experience of seeing exactly the same situation a second time); seemingly familiar; apparently already acquainted,20767,37685,"0,000443%", ,7–9
,7886,似是而非,sì shì ér fēi,apparently right but actually wrong; specious (idiom),34657,16065,"0,000189%", ,7–9
,7887,伺机,sì jī,to wait for an opportunity; to watch for one’s chance,17482,48914,"0,000575%", ,7–9
,7888,饲料,sì liào,feed; fodder,3450,408575,"0,004802%", ,7–9
,7889,饲养,sì yǎng,to raise; to rear,4609,286151,"0,003363%",6,7–9
,7890,松绑,sōng bǎng,to untie; (fig.) to ease restrictions,31527,18953,"0,000223%", ,7–9
,7891,松弛,sōng chí,to relax; relaxed; limp; lax,11823,85195,"0,001001%", ,7–9
,7892,耸立,sǒng lì,to stand tall; to tower aloft,24535,29006,"0,000341%", ,7–9
,7893,送别,sòng bié,farewell,20998,37043,"0,000435%", ,7–9
,7894,搜查,sōu chá,to search,11266,91346,"0,001074%", ,7–9
,7895,搜集,sōu jí,to gather; to collect,6999,169766,"0,001995%", ,7–9
,7896,搜救,sōu jiù,search and rescue,—,—,—, ,7–9
,7897,搜寻,sōu xún,to search; to look for,9353,116538,"0,001370%", ,7–9
,7898,苏醒,sū xǐng,to come to; to awaken; to regain consciousness,11949,83879,"0,000986%",6,7–9
,7899,俗话,sú huà,common saying; proverb,8527,131359,"0,001544%",6,7–9
,7900,俗话说,sú huà shuō,as the proverb says; as they say…,—,—,—, ,7–9
,7901,俗语,sú yǔ,common saying; proverb; colloquial speech,22863,32434,"0,000381%", ,7–9
,7902,诉苦,sù kǔ,to grumble; to complain; grievance,19011,43059,"0,000506%", ,7–9
,7903,诉说,sù shuō,to recount; to tell of; to relate; (fig.) (of a thing) to stand as testament to (some past history),8908,123967,"0,001457%", ,7–9
,7904,诉讼,sù sòng,lawsuit,2519,578517,"0,006799%",6,7–9
,7905,素不相识,sù bù xiāng shí,to be total strangers (idiom),27695,23665,"0,000278%", ,7–9
,7906,素材,sù cái,source material (in literature and art),9538,113749,"0,001337%", ,7–9
,7907,素描,sù miáo,sketch,20205,39320,"0,000462%", ,7–9
,7908,素食,sù shí,vegetables; vegetarian food,17893,47276,"0,000556%",6,7–9
,7909,素养,sù yǎng,(personal) accomplishment; attainment in self-cultivation,9579,113185,"0,001330%", ,7–9
,7910,塑造,sù zào,"to model; to mold; (fig.) to create (a character, a market, an image etc); (literature) to portray (in words)",4429,301746,"0,003546%",6,7–9
,7911,算计,suàn ji,to reckon; to calculate; to plan; to expect; to scheme,13800,68654,"0,000807%", ,7–9
,7912,算盘,suàn pán,abacus; plan; scheme,20681,37920,"0,000446%", ,7–9
,7913,算账,suàn zhàng,"to balance accounts, to settle accounts; (fig.) to settle account with sb, to get even with sb, to get one’s revenge, to deal with sb",20724,37816,"0,000444%", ,7–9
,7914,虽说,suī shuō,though; although,5581,224079,"0,002634%", ,7–9
,7915,随处可见,suí chù kě jiàn,can be seen everywhere,12212,81344,"0,000956%", ,7–9
,7916,随大溜,suí dà liù,"lit. drift with the stream, follow the crowd",—,—,—, ,7–9
,7917,随机,suí jī,according to the situation; pragmatic; random,3471,405049,"0,004761%", ,7–9
,7918,随即,suí jí,immediately; presently; following which,2595,561771,"0,006602%",6,7–9
,7919,随身,suí shēn,to (carry) on one’s person; to (take) with one,5645,220216,"0,002588%",5,7–9
,7920,随时随地,suí shí suí dì,anytime and anywhere,10415,101180,"0,001189%", ,7–9
,7921,随心所欲,suí xīn suǒ yù,to follow one’s heart’s desires; to do as one pleases (idiom),14320,65160,"0,000766%", ,7–9
,7922,遂心,suì xīn,to one’s liking,92104,2059,"0,000024%", ,7–9
,7923,隧道,suì dào,tunnel,4464,297870,"0,003501%",6,7–9
,7924,损坏,sǔn huài,to damage; to injure,5960,206109,"0,002422%",6,7–9
,7925,损人利己,sǔn rén lì jǐ,harming others for one’s personal benefit (idiom); personal gain to the detriment of others,45232,9744,"0,000115%", ,7–9
,7926,损伤,sǔn shāng,to harm; to damage; to injure; impairment; loss; disability,2032,743290,"0,008736%", ,7–9
,7927,缩水,suō shuǐ,to shrink (in the wash); fig. to shrink (of profits etc),10364,101667,"0,001195%", ,7–9
,7928,缩影,suō yǐng,miniature version of sth; microcosm; epitome; (Tw) to microfilm,15377,58817,"0,000691%", ,7–9
,7929,所属,suǒ shǔ,one’s affiliation (i.e. the organization one is affiliated with); subordinate (i.e. those subordinate to oneself); belonging to; affiliated; under one’s command,4069,332649,"0,003910%", ,7–9
,7930,所谓,suǒ wèi,so-called; what is called,795,1886321,"0,022170%", ,7–9
,7931,所作所为,suǒ zuò suǒ wéi,one’s conduct and deeds,17313,49551,"0,000582%", ,7–9
,7932,索赔,suǒ péi,to ask for compensation; to claim damages; claim for damages,7903,145750,"0,001713%", ,7–9
,7933,索取,suǒ qǔ,to ask; to demand,10889,95642,"0,001124%",6,7–9
,7934,索性,suǒ xìng,you might as well (do it); simply; just,9773,110169,"0,001295%",6,7–9
,7935,锁定,suǒ dìng,"to lock (a door); to close with a latch; to lock into place; a lock; a latch; to lock a computer file (to prevent it being overwritten); to lock (denying access to a computer system or device or files, e.g. by password-protection); to focus attention on; to target",4579,288163,"0,003387%", ,7–9
,7936,他人,tā rén,another; sb else; other people,1590,947639,"0,011138%", ,7–9
,7937,踏上,tà shàng,to set foot on; to step on or into,—,—,—, ,7–9
,7938,胎儿,tāi ér,unborn child; fetus; embryo,5436,231770,"0,002724%", ,7–9
,7939,台球,tái qiú,billiards,10351,101849,"0,001197%", ,7–9
,7940,太极,tài jí,"the Absolute or Supreme Ultimate, the source of all things according to some interpretations of Chinese mythology",11204,92029,"0,001082%", ,7–9
,7941,太极拳,tài jí quán,"shadowboxing or Taiji, T’aichi or T’aichichuan; traditional form of physical exercise or relaxation; a martial art",18731,44083,"0,000518%",5,7–9
,7942,太平,tài píng,peace and security,7033,168784,"0,001984%", ,7–9
,7943,泰斗,tài dǒu,leading scholar of his time; magnate,33632,16931,"0,000199%",6,7–9
,7944,贪婪,tān lán,avaricious; greedy; rapacious; insatiable; avid,10016,106448,"0,001251%",6,7–9
,7945,贪玩,tān wán,"to only want to have a good time; to just want to have fun, and to shy away from self-discipline",22585,33056,"0,000389%", ,7–9
,7946,贪污,tān wū,to be corrupt; corruption; to embezzle,5039,257334,"0,003024%",6,7–9
,7947,瘫痪,tān huàn,"paralysis; be paralyzed (body, transportation, etc)",7679,151098,"0,001776%",6,7–9
,7948,谈不上,tán bu shàng,to be out of the question,—,—,—, ,7–9
,7949,谈到,tán dào,to refer to; to speak about; to talk about,2343,630386,"0,007409%", ,7–9
,7950,谈论,tán lùn,to discuss; to talk about,6009,203941,"0,002397%", ,7–9
,7951,谈起,tán qǐ,"mention speak of, talk about",6481,187199,"0,002200%", ,7–9
,7952,弹性,tán xìng,flexibility; elasticity,4136,326691,"0,003840%",6,7–9
,7953,坦白,tǎn bái,honest; forthcoming; to confess,9652,112030,"0,001317%",6,7–9
,7954,坦诚,tǎn chéng,candid; frank; plain dealing,11275,91234,"0,001072%", ,7–9
,7955,坦克,tǎn kè,tank (military vehicle) (loanword),5071,254406,"0,002990%", ,7–9
,7956,坦然,tǎn rán,calm; undisturbed,7349,159334,"0,001873%", ,7–9
,7957,坦率,tǎn shuài,frank (discussion); blunt; open,11425,89274,"0,001049%",5,7–9
,7958,毯子,tǎn zi,blanket,25109,27889,"0,000328%", ,7–9
,7959,探测,tàn cè,to probe; to take readings; to explore; exploration,6832,174696,"0,002053%",6,7–9
,7960,探亲,tàn qīn,to go home to visit one’s family,12902,75366,"0,000886%", ,7–9
,7961,探求,tàn qiú,to seek; to pursue; to investigate,23431,31254,"0,000367%", ,7–9
,7962,探望,tàn wàng,to visit; to call on sb; to look around,11076,93433,"0,001098%",6,7–9
,7963,探险,tàn xiǎn,to explore; to go on an expedition; adventure,9668,111753,"0,001313%", ,7–9
,7964,汤圆,tāng yuán,"boiled balls of glutinous rice flour, eaten during the Lantern Festival",10322,102168,"0,001201%", ,7–9
,7965,糖果,táng guǒ,candy,7433,157444,"0,001850%", ,7–9
,7966,糖尿病,táng niào bìng,diabetes; diabetes mellitus,3931,347927,"0,004089%", ,7–9
,7967,倘若,tǎng ruò,provided that; supposing that; if,7701,150613,"0,001770%",6,7–9
,7968,掏钱,tāo qián,to pay; to spend money; to fork out,—,—,—, ,7–9
,7969,滔滔不绝,tāo tāo bù jué,unceasing torrent (idiom); talking non-stop; gabbling forty to the dozen,19729,40743,"0,000479%",6,7–9
,7970,逃避,táo bì,to escape; to evade; to avoid; to shirk,4698,280538,"0,003297%",5,7–9
,7971,逃生,táo shēng,to flee for one’s life,12059,82810,"0,000973%", ,7–9
,7972,逃亡,táo wáng,to flee; flight (from danger); fugitive,13429,71242,"0,000837%", ,7–9
,7973,陶瓷,táo cí,pottery and porcelain; ceramics,5579,224136,"0,002634%",6,7–9
,7974,陶冶,táo yě,lit. to fire pots and smelt metal; fig. to educate,27961,23287,"0,000274%", ,7–9
,7975,陶醉,táo zuì,to be infatuated with; to be drunk with; to be enchanted with; to revel in,11701,86199,"0,001013%",6,7–9
,7976,淘气,táo qì,naughty; mischievous,16820,51799,"0,000609%",5,7–9
,7977,淘汰,táo tài,to wash out; elimination (by selection); natural selection; to knock out (in a competition); to die out; to phase out,2716,535394,"0,006292%",6,7–9
,7978,讨好,tǎo hǎo,to get the desired outcome; to win favor by fawning on sb; to curry favor with; a fruitful outcome to reward one’s labor,10036,106173,"0,001248%",6,7–9
,7979,讨价还价,tǎo jià huán jià,to haggle over price,13520,70555,"0,000829%",5,7–9
,7980,讨人喜欢,tǎo rén xǐ huan,to attract people’s affection; charming; delightful,—,—,—, ,7–9
,7981,特产,tè chǎn,special local product; (regional) specialty,10260,103206,"0,001213%", ,7–9
,7982,特长,tè cháng,personal strength; one’s special ability or strong points,7945,144903,"0,001703%",6,7–9
,7983,特例,tè lì,special case; isolated example,26984,24708,"0,000290%", ,7–9
,7984,特权,tè quán,prerogative; privilege; privileged,8241,137604,"0,001617%", ,7–9
,7985,特邀,tè yāo,special invitation,13518,70559,"0,000829%", ,7–9
,7986,特制,tè zhì,special; unique,12850,75790,"0,000891%", ,7–9
,7987,特质,tè zhì,characteristic; special quality,8747,127183,"0,001495%", ,7–9
,7988,藤椅,téng yǐ,rattan chair,46745,9115,"0,000107%", ,7–9
,7989,剔除,tī chú,to reject; to discard; to get rid of,12969,75019,"0,000882%", ,7–9
,7990,梯子,tī zi,ladder; stepladder,20276,39087,"0,000459%", ,7–9
,7991,提拔,tí bá,to promote to a higher job; to select for promotion,9447,115071,"0,001352%",6,7–9
,7992,提炼,tí liàn,"to extract (ore, minerals etc); to refine; to purify; to process",12002,83332,"0,000979%",6,7–9
,7993,提名,tí míng,to nominate,3983,341934,"0,004019%", ,7–9
,7994,提速,tí sù,to increase the specified cruising speed; to pick up speed; to speed up,—,—,—, ,7–9
,7995,提心吊胆,tí xīn diào dǎn,(saying) to be very scared and on edge,20090,39642,"0,000466%", ,7–9
,7996,提议,tí yì,proposal; suggestion; to propose; to suggest,4952,262486,"0,003085%",6,7–9
,7997,提早,tí zǎo,ahead of schedule; sooner than planned; to bring forward (to an earlier time),9625,112484,"0,001322%", ,7–9
,7998,体谅,tǐ liàng,to empathize; to allow (for sth); to show understanding; to appreciate,10610,98829,"0,001162%",6,7–9
,7999,体面,tǐ miàn,dignity; face (as in “losing face”); honorable; creditable; (of sb’s appearance) presentable; respectable,16142,55073,"0,000647%",6,7–9
,8000,体能,tǐ néng,physical capability; stamina,6044,202608,"0,002381%", ,7–9
,8001,体贴,tǐ tiē,considerate (of other people’s needs),7312,160197,"0,001883%",5,7–9
,8002,体温,tǐ wēn,(body) temperature,6382,190488,"0,002239%", ,7–9
,8003,体系,tǐ xì,system; setup,590,2358506,"0,027719%",6,7–9
,8004,体制,tǐ zhì,system; organization,939,1632865,"0,019191%", ,7–9
,8005,体质,tǐ zhì,constitution,6239,195182,"0,002294%", ,7–9
,8006,替换,tì huàn,to exchange; to replace; to substitute for; to switch,9782,109996,"0,001293%", ,7–9
,8007,替身,tì shēn,stand-in; substitute; body double; stuntman; scapegoat; fall guy; to stand in for sb else,19772,40611,"0,000477%", ,7–9
,8008,天长地久,tiān cháng dì jiǔ,enduring while the world lasts (idiom); eternal,16182,54893,"0,000645%", ,7–9
,8009,天地,tiān dì,heaven and earth; world; scope; field of activity,3676,378154,"0,004444%", ,7–9
,8010,天鹅,tiān é,swan,6725,178312,"0,002096%", ,7–9
,8011,天分,tiān fèn,natural gift; talent,21683,35211,"0,000414%", ,7–9
,8012,天赋,tiān fù,gift; innate skill,7330,159839,"0,001879%",6,7–9
,8013,天经地义,tiān jīng dì yì,lit. heaven’s law and earth’s principle (idiom); fig. right and proper; right and unalterable; a matter of course,23997,30014,"0,000353%", ,7–9
,8014,天平,tiān píng,scales (to weigh things),10972,94639,"0,001112%", ,7–9
,8015,天桥,tiān qiáo,overhead walkway; pedestrian bridge,7907,145716,"0,001713%", ,7–9
,8016,天生,tiān shēng,nature; disposition; innate; natural,4344,308055,"0,003621%",6,7–9
,8017,天使,tiān shǐ,angel,3429,412836,"0,004852%", ,7–9
,8018,天线,tiān xiàn,antenna; mast; connection with high-ranking officials,11647,86806,"0,001020%", ,7–9
,8019,天性,tiān xìng,nature; innate tendency,10915,95318,"0,001120%", ,7–9
,8020,天主教,tiān zhǔ jiào,Catholicism,19715,40780,"0,000479%", ,7–9
,8021,添加,tiān jiā,to add; to increase,4176,322227,"0,003787%", ,7–9
,8022,甜美,tián měi,sweet; pleasant; happy,4981,260629,"0,003063%", ,7–9
,8023,甜蜜,tián mì,sweet; happy,3680,377585,"0,004438%", ,7–9
,8024,甜头,tián tou,"sweet taste (of power, success etc); benefit",16779,52007,"0,000611%", ,7–9
,8025,填补,tián bǔ,to fill a gap; to fill in a blank (on a form); to overcome a deficiency,7697,150660,"0,001771%", ,7–9
,8026,填充,tián chōng,pad; padding,15167,60026,"0,000705%", ,7–9
,8027,填写,tián xiě,to fill in a form; to write data in a box (on a questionnaire or web form),5353,236581,"0,002781%", ,7–9
,8028,挑剔,tiāo ti,picky; fussy,10225,103725,"0,001219%",6,7–9
,8029,条款,tiáo kuǎn,clause (of contract or law),3435,411307,"0,004834%",6,7–9
,8030,条例,tiáo lì,regulations; rules; code of conduct; ordinances; statutes,1859,818900,"0,009624%", ,7–9
,8031,条约,tiáo yuē,treaty; pact,4628,285229,"0,003352%",6,7–9
,8032,调侃,tiáo kǎn,to ridicule; to tease; to mock; idle talk; chitchat,12291,80606,"0,000947%", ,7–9
,8033,调控,tiáo kòng,to regulate; to control,2289,648165,"0,007618%", ,7–9
,8034,调料,tiáo liào,condiment; seasoning; flavoring,12242,81081,"0,000953%",6,7–9
,8035,调试,tiáo shì,to debug; to adjust components during testing; debugging,10045,106021,"0,001246%", ,7–9
,8036,挑起,tiǎo qǐ,to provoke; to stir up; to incite,10252,103337,"0,001215%", ,7–9
,8037,挑衅,tiǎo xìn,to provoke; provocation,8763,126801,"0,001490%",6,7–9
,8038,跳槽,tiào cáo,to change jobs; job-hopping,12268,80841,"0,000950%", ,7–9
,8039,跳动,tiào dòng,to throb; to pulse; to bounce; to jiggle; to jump about,11498,88463,"0,001040%", ,7–9
,8040,跳伞,tiào sǎn,to parachute; to bail out; parachute jumping,22095,34236,"0,000402%", ,7–9
,8041,跳跃,tiào yuè,to jump; to leap; to bound; to skip,9600,112895,"0,001327%",6,7–9
,8042,贴近,tiē jìn,to press close to; to snuggle close; intimate,6736,177872,"0,002091%", ,7–9
,8043,贴切,tiē qiè,close-fitting; closest (translation),14944,61390,"0,000722%", ,7–9
,8044,帖子,tiě zi,card; invitation; message; (forum) post,6096,200697,"0,002359%", ,7–9
,8045,听从,tīng cóng,to listen and obey; to comply with; to heed; to hearken,11546,87956,"0,001034%", ,7–9
,8046,听话,tīng huà,to do what one is told; obedient,6765,177004,"0,002080%", ,7–9
,8047,停泊,tíng bó,to anchor; anchorage; mooring (of a ship),19142,42596,"0,000501%",6,7–9
,8048,停车位,tíng chē wèi,"parking space, parking spot",—,—,—, ,7–9
,8049,停电,tíng diàn,to have a power failure; power cut,7007,169615,"0,001993%", ,7–9
,8050,停顿,tíng dùn,to halt; to break off; pause (in speech),10465,100553,"0,001182%",6,7–9
,8051,停放,tíng fàng,to park (a car etc); to moor (a boat etc); to leave sth (in a place),9964,107381,"0,001262%", ,7–9
,8052,停业,tíng yè,to cease trading (temporarily or permanently); to close down,13815,68548,"0,000806%", ,7–9
,8053,通畅,tōng chàng,unobstructed; clear,11506,88374,"0,001039%", ,7–9
,8054,通车,tōng chē,"to open to traffic (e.g. new bridge, rail line etc); (of a locality) to have a transportation service; (Tw) to commute",5768,214057,"0,002516%", ,7–9
,8055,通风,tōng fēng,airy; ventilation; to ventilate; to disclose information,7066,167957,"0,001974%", ,7–9
,8056,通告,tōng gào,to announce; to give notice,8531,131334,"0,001544%", ,7–9
,8057,通缉,tōng jī,to order the arrest of sb as criminal; to list as wanted,14522,64044,"0,000753%",6,7–9
,8058,通顺,tōng shùn,smooth; clear and coherent,42499,11019,"0,000130%", ,7–9
,8059,通俗,tōng sú,common; everyday; average,11654,86714,"0,001019%",6,7–9
,8060,通通,tōng tōng,all; entire; complete,13778,68793,"0,000809%", ,7–9
,8061,通往,tōng wǎng,to lead to,6445,188280,"0,002213%", ,7–9
,8062,通宵,tōng xiāo,all night; throughout the night,6958,170900,"0,002009%", ,7–9
,8063,通行证,tōng xíng zhèng,a pass (authority to enter); a laissez-passer or safe conduct,11379,89830,"0,001056%", ,7–9
,8064,同伴,tóng bàn,companion; comrade; fellow,6503,186521,"0,002192%", ,7–9
,8065,同步,tóng bù,synchronous; to synchronize; to keep step with,3009,477628,"0,005614%", ,7–9
,8066,同等,tóng děng,equal to; having the same social class or status,6976,170465,"0,002003%", ,7–9
,8067,同感,tóng gǎn,(have the) same feeling; similar impression; common feeling,7012,169427,"0,001991%", ,7–9
,8068,同伙,tóng huǒ,colleague; co-conspirator; accomplice,13117,73789,"0,000867%", ,7–9
,8069,同类,tóng lèi,similar; same type; alike,4792,273606,"0,003216%", ,7–9
,8070,同盟,tóng méng,alliance,9379,116171,"0,001365%", ,7–9
,8071,同年,tóng nián,the same year,6035,202987,"0,002386%", ,7–9
,8072,同人,tóng rén,people from the same workplace or profession; co-worker; colleague; pop culture enthusiasts who create fan fiction etc,—,—,—, ,7–9
,8073,同志,tóng zhì,comrade; (slang) homosexual,557,2485028,"0,029206%",6,7–9
,8074,同舟共济,tóng zhōu gòng jì,cross a river in the same boat (idiom); fig. having common interests; obliged to collaborate towards common goals,39021,12960,"0,000152%", ,7–9
,8075,统筹,tǒng chóu,an overall plan; to plan an entire project as a whole,4701,280410,"0,003296%", ,7–9
,8076,统统,tǒng tǒng,totally,6368,190920,"0,002244%",6,7–9
,8077,统治,tǒng zhì,to rule (a country); to govern; rule; regime,3731,371605,"0,004367%",6,7–9
,8078,痛心,tòng xīn,grieved; pained,11946,83895,"0,000986%", ,7–9
,8079,偷看,tōu kàn,to peep; to peek; to steal a glance,18373,45365,"0,000533%", ,7–9
,8080,偷窥,tōu kuī,to peep; to peek; to act as voyeur,19353,41878,"0,000492%", ,7–9
,8081,偷懒,tōu lǎn,to goof off; to be lazy,13541,70371,"0,000827%", ,7–9
,8082,头部,tóu bù,head,—,—,—, ,7–9
,8083,头顶,tóu dǐng,top of the head,6014,203844,"0,002396%", ,7–9
,8084,头号,tóu hào,first rate; top rank; number one,6890,173023,"0,002034%", ,7–9
,8085,头条,tóu tiáo,lead story (on the news),13581,70079,"0,000824%", ,7–9
,8086,头头是道,tóu tóu shì dào,clear and logical,37814,13734,"0,000161%", ,7–9
,8087,头衔,tóu xián,title; rank; appellation,10121,105103,"0,001235%", ,7–9
,8088,头晕,tóu yūn,dizzy,6421,189370,"0,002226%", ,7–9
,8089,投奔,tóu bèn,to seek shelter; to seek asylum,18491,44913,"0,000528%", ,7–9
,8090,投稿,tóu gǎo,to submit articles for publication; to contribute (writing),11572,87713,"0,001031%", ,7–9
,8091,投机,tóu jī,to speculate (on financial markets); opportunistic; congenial; agreeable,4853,269455,"0,003167%",6,7–9
,8092,投射,tóu shè,to throw (a projectile); to cast (light),17316,49545,"0,000582%", ,7–9
,8093,投身,tóu shēn,to throw oneself into sth,9257,118013,"0,001387%", ,7–9
,8094,投降,tóu xiáng,to surrender; surrender,6215,196136,"0,002305%",6,7–9
,8095,透彻,tòu chè,penetrating; thorough; incisive,13266,72614,"0,000853%", ,7–9
,8096,透过,tòu guò,to pass through; to penetrate; by means of; via,4993,259815,"0,003054%", ,7–9
,8097,透气,tòu qì,to flow freely (of air); to ventilate; to breathe (of fabric etc); to take a breath of fresh air; to divulge,16012,55742,"0,000655%", ,7–9
,8098,透支,tòu zhī,(bank) overdraft,10334,102062,"0,001200%", ,7–9
,8099,凸显,tū xiǎn,to present clearly; to give prominence to; to magnify; clear and obvious,—,—,—, ,7–9
,8100,突发,tū fā,to burst out suddenly; sudden outburst,4241,316909,"0,003725%", ,7–9
,8101,突击,tū jī,sudden and violent attack; assault; fig. rushed job; concentrated effort to finish a job quickly,5730,216281,"0,002542%", ,7–9
,8102,突破口,tū pò kǒu,"lit. a crack, breach or gap from which one can break something, a sally port; breakthrough to a problem",9714,111071,"0,001305%", ,7–9
,8103,突如其来,tū rú qí lái,to arise abruptly; to arrive suddenly; happening suddenly,11328,90555,"0,001064%", ,7–9
